Episode,Total Rewards,Experience,Priority,Convergence Speed,Exploration Rate,Decay Rate
305,7055.0,7055,297.7434903228488,41,0.011000000000000003,0.003278688524590164
306,7085.0,7085,298.2502621663319,29,0.011000000000000003,0.0032679738562091504
307,7098.0,7098,299.23874102479823,12,0.011000000000000003,0.003257328990228013
308,7115.0,7115,300.9527571859974,16,0.011000000000000003,0.003246753246753247
309,7129.0,7129,301.8472659499551,13,0.011000000000000003,0.003236245954692557
310,7157.0,7157,302.6722833505072,27,0.011000000000000003,0.0032258064516129032
311,7176.0,7176,303.56405975333575,18,0.011000000000000003,0.003215434083601286
312,7194.0,7194,304.3539429896656,17,0.011000000000000003,0.003205128205128205
313,7209.0,7209,305.7442057870205,14,0.011000000000000003,0.003194888178913738
314,7231.0,7231,306.7055986159126,21,0.011000000000000003,0.0031847133757961785
315,7244.0,7244,306.8039506885114,12,0.011000000000000003,0.0031746031746031746
316,7264.0,7264,308.5543647054936,19,0.011000000000000003,0.0031645569620253164
317,7288.0,7288,309.470821941833,23,0.011000000000000003,0.0031545741324921135
318,7299.0,7299,310.4498248105966,10,0.011000000000000003,0.0031446540880503146
319,7322.0,7322,310.86164038158097,22,0.011000000000000003,0.003134796238244514
320,7382.0,7382,311.532291037435,59,0.011000000000000003,0.003125
321,7410.0,7410,312.365852428339,27,0.011000000000000003,0.003115264797507788
322,7425.0,7425,312.9200454146786,14,0.011000000000000003,0.003105590062111801
323,7464.0,7464,313.80038451206815,38,0.011000000000000003,0.0030959752321981426
324,7476.0,7476,314.45160856423627,11,0.011000000000000003,0.0030864197530864196
325,7494.0,7494,315.20723435377283,17,0.011000000000000003,0.003076923076923077
326,7513.0,7513,316.3435217791298,18,0.011000000000000003,0.003067484662576687
327,7533.0,7533,316.8632101235438,19,0.011000000000000003,0.0030581039755351682
328,7549.0,7549,318.2129491659606,15,0.011000000000000003,0.003048780487804878
329,7567.0,7567,319.70118313292693,17,0.011000000000000003,0.00303951367781155
330,7593.0,7593,320.968323104765,25,0.011000000000000003,0.0030303030303030303
331,7614.0,7614,322.41113239815866,20,0.011000000000000003,0.0030211480362537764
332,7626.0,7626,323.6906298974386,11,0.011000000000000003,0.0030120481927710845
333,7647.0,7647,324.81550088910353,20,0.011000000000000003,0.003003003003003003
334,7659.0,7659,325.7484233563206,11,0.011000000000000003,0.0029940119760479044
335,7680.0,7680,326.89800484110924,20,0.011000000000000003,0.0029850746268656717
336,7692.0,7692,327.09387616416876,11,0.011000000000000003,0.002976190476190476
337,7715.0,7715,328.34776677499167,22,0.011000000000000003,0.002967359050445104
338,7783.0,7783,328.7060884522637,67,0.011000000000000003,0.0029585798816568047
339,7792.0,7792,329.51790020337876,8,0.011000000000000003,0.0029498525073746312
340,7869.0,7869,331.11295965506935,76,0.011000000000000003,0.0029411764705882353
341,7888.0,7888,332.0499220299349,18,0.011000000000000003,0.002932551319648094
342,7909.0,7909,332.43417191029914,20,0.011000000000000003,0.0029239766081871343
343,7921.0,7921,333.74074651113057,11,0.011000000000000003,0.0029154518950437317
344,7938.0,7938,334.686720551912,16,0.011000000000000003,0.0029069767441860465
345,7961.0,7961,335.6918236578134,22,0.011000000000000003,0.002898550724637681
346,7992.0,7992,336.7786049457884,30,0.011000000000000003,0.002890173410404624
347,8009.0,8009,337.63955711290635,16,0.011000000000000003,0.002881844380403458
348,8020.0,8020,338.62567396134557,10,0.011000000000000003,0.0028735632183908046
349,8032.0,8032,339.2249703082448,11,0.011000000000000003,0.0028653295128939827
350,8054.0,8054,340.0095122756477,21,0.011000000000000003,0.002857142857142857
351,8071.0,8071,340.3426593420908,16,0.011000000000000003,0.002849002849002849
352,8093.0,8093,341.10232608939356,21,0.011000000000000003,0.002840909090909091
353,8112.0,8112,342.0433323839932,18,0.011000000000000003,0.0028328611898017
354,8134.0,8134,342.82331646887127,21,0.011000000000000003,0.002824858757062147
355,8159.0,8159,344.1362537846236,24,0.011000000000000003,0.0028169014084507044
356,8172.0,8172,344.60482618343104,12,0.011000000000000003,0.0028089887640449437
357,8195.0,8195,345.2062442294549,22,0.011000000000000003,0.0028011204481792717
358,8208.0,8208,346.0377054359707,12,0.011000000000000003,0.002793296089385475
359,8218.0,8218,347.1286599456415,9,0.011000000000000003,0.002785515320334262
360,8236.0,8236,348.07013385141,17,0.011000000000000003,0.002777777777777778
361,8245.0,8245,349.3386949482295,8,0.011000000000000003,0.002770083102493075
362,8267.0,8267,350.85515945954177,21,0.011000000000000003,0.0027624309392265192
363,8314.0,8314,351.8912649739714,46,0.011000000000000003,0.0027548209366391185
364,8329.0,8329,352.8090750496682,14,0.011000000000000003,0.0027472527472527475
365,8346.0,8346,353.78981325514644,16,0.011000000000000003,0.0027397260273972603
